Car Names,Mileages,Ratings,Reviews,used/certified,Price
2019 Alfa Romeo Stelvio Ti,"31,620 mi.",4.9,"(4,427 reviews)",Used,"$38,490.00"
2021 GMC Yukon Denali,"12,387 mi.",4.4,(694 reviews),Used,"$78,395.00"
2014 Volvo S60 T5,"45,141 mi.",4.2,"(9,083 reviews)",Used,"$17,590.00"
2021 Mazda CX-5 Grand Touring,"60,439 mi.",4.8,"(1,491 reviews)",Used,"$32,289.00"
2020 Mercedes-Benz GLC 300 Base 4MATIC,"13,621 mi.",4.7,(926 reviews),Mercedes-Benz Certified,"$37,496.00"
2020 Porsche Macan S,"14,880 mi.",5.0,(3 reviews),Used,"$67,180.00"
2015 Audi S4 3.0T Premium Plus,"15,834 mi.",3.2,(38 reviews),Used,"$25,999.00"
2003 Toyota Highlander V6 (A4),"62,600 mi.",4.8,(77 reviews),Used,"$7,000.00"
2018 Toyota 4Runner Limited,"145,276 mi.",2.0,(13 reviews),Used,"$39,599.00"
2020 Acura TLX V6 w/Technology Package,"58,843 mi.",4.7,"(1,210 reviews)",Used,"$35,888.00"
2019 Lexus IS 300 IS 300 F SPORT,"24,989 mi.",5.0,(3 reviews),Used,"$38,998.00"
2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,150 mi.",4.5,"(1,227 reviews)",Used,"$36,000.00"
2020 Ford F-150 Lariat,"16,748 mi.",4.8,(615 reviews),Used,"$53,997.00"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"20,518 mi.",4.7,"(3,487 reviews)",Used,"$64,991.00"
2019 Jeep Grand Cherokee Limited,"15,430 mi.",4.5,(513 reviews),Used,"$39,591.00"
2019 Jeep Grand Cherokee Limited,"37,637 mi.",4.2,(342 reviews),Used,"$31,996.00"
2012 Ford Focus SEL,"15,823 mi.",4.2,(63 reviews),Used,"$5,499.00"
2021 Toyota Avalon TRD,"135,809 mi.",4.7,(787 reviews),Used,"$43,800.00"
2019 Ford F-450 Platinum,"19,999 mi.",4.8,"(1,240 reviews)",Used,"$95,977.00"
2020 Acura MDX 3.5L,"19,526 mi.",5.0,(5 reviews),Used,"$37,994.00"
2017 Mercedes-Benz C-Class C 300,"20,803 mi.",4.8,"(1,174 reviews)",Used,"$30,999.00"
2017 Dodge Durango R/T,"14,021 mi.",4.6,(663 reviews),Used,"$37,995.00"
2018 Porsche Panamera Turbo,"43,915 mi.",4.7,"(1,124 reviews)",Used,"$109,995.00"
2018 Jeep Grand Cherokee Limited,"24,322 mi.",4.6,(128 reviews),Used,"$34,541.00"
2019 BMW 330 i xDrive,"48,541 mi.",4.5,(754 reviews),BMW Certified,"$35,995.00"
2020 Acura MDX 3.5L w/Technology Package,"33,522 mi.",4.7,(742 reviews),Used,"$44,995.00"
2021 Mercedes-Benz GLE 350 Base 4MATIC,"16,720 mi.",4.7,"(1,680 reviews)",Used,"$63,878.00"
2017 Audi Q7 3.0T Premium Plus,"13,564 mi.",4.8,"(4,891 reviews)",Used,"$33,895.00"
2019 Volvo XC60 T5 Momentum,"63,598 mi.",3.4,(484 reviews),Used,"$43,962.00"
2021 BMW M340 i xDrive,"15,638 mi.",4.7,"(1,680 reviews)",Used,"$56,990.00"
2020 Tesla Model Y Long Range,"16,317 mi.",4.4,(13 reviews),Used,"$65,995.00"
2019 Volvo XC60 T5 Momentum,"9,561 mi.",4.5,(965 reviews),Used,"$42,962.00"
2015 Land Rover Range Rover 3.0L Supercharged HSE,"33,921 mi.",2.8,(259 reviews),Used,"$45,995.00"
2017 Audi Q7 3.0T Premium Plus,"55,108 mi.",3.7,(3 reviews),Used,"$41,595.00"
2020 Tesla Model Y Long Range,"21,907 mi.",4.4,"(1,384 reviews)",Used,"$65,781.00"
2019 BMW M5 Competition,"15,614 mi.",4.7,(996 reviews),Used,"$64,950.00"
2020 Nissan Rogue SL,"74,883 mi.",4.7,(46 reviews),Nissan Certified,"$32,988.00"
2019 Honda CR-V EX-L,"18,335 mi.",4.5,(348 reviews),Used,"$28,499.00"
2018 Cadillac XT5 Luxury,"47,033 mi.",4.9,(939 reviews),Cadillac Certified,"$34,293.00"
2019 BMW X5 xDrive40i,"47,758 mi.",4.5,(665 reviews),Used,"$54,995.00"
2019 Acura RDX Technology Package,"22,037 mi.",2.3,(15 reviews),Used,"$37,959.00"
2020 Ford Edge Titanium,"49,576 mi.",4.7,(284 reviews),Used,"$35,292.00"
2021 Ford Expedition Limited,"18,610 mi.",4.8,(860 reviews),Used,"$69,495.00"
2020 GMC Acadia SLE,"12,482 mi.",4.7,"(1,661 reviews)",Used,"$30,990.00"
2019 Volkswagen Golf GTI 2.0T Rabbit Edition 4-Door,"47,004 mi.",4.3,(6 reviews),Used,"$31,999.00"
2021 BMW 530 i xDrive,"22,700 mi.",3.7,(3 reviews),Used,"$53,995.00"
2020 Nissan Murano SL,"10,335 mi.",4.7,"(1,221 reviews)",Used,"$34,000.00"
2020 Honda Accord EX-L,"39,277 mi.",4.9,(131 reviews),Used,"$27,995.00"
2019 BMW 530 i xDrive,"14,369 mi.",2.4,(13 reviews),Used,"$32,750.00"
2018 GMC Sierra 2500 Denali,"45,670 mi.",3.9,(147 reviews),Used,"$63,997.00"
2021 Toyota Highlander Platinum,"38,420 mi.",4.7,(881 reviews),Used,"$48,741.00"
2021 Toyota Camry SE,"64,404 mi.",4.5,(92 reviews),Used,"$31,998.00"
2014 Mercedes-Benz E-Class E 350 4MATIC,Mileage,4.8,(6 reviews),Used,"$20,985.00"
2018 Ford Escape SE,"94,998 mi.",4.3,(6 reviews),Used,"$18,995.00"
2019 Nissan Rogue SV,"37,229 mi.",4.6,(42 reviews),Used,"$22,997.00"
2017 Chevrolet Malibu 1LT,"46,491 mi.",3.6,(133 reviews),Used,"$14,995.00"
2008 Honda Accord EX,"61,303 mi.",3.5,(19 reviews),Used,"$4,999.00"
2010 Lexus ES 350,"200,000 mi.",3.8,(164 reviews),Used,"$11,981.00"
